Animal	treatment	genetics	tank	dose	TE	Outcome								
1	Control	1	1	1	5	1								
2	Control	1	1	1	5	0								
3	Control	1	1	1	5	0								
4	Control	1	1	1	5	0								
5	Control	1	1	1	5	0								
6	Control	1	1	1	5	0								
7	Control	1	1	1	5	0								
8	Control	1	1	1	5	0								
9	Control	1	1	1	5	0								
10	Control	1	1	1	5	0								
11	Control	1	1	1	5	0								
12	Control	1	1	1	5	0								
13	Control	1	1	1	5	0								
14	Control	1	1	1	5	0								
15	Control	1	1	1	5	0								
16	Control	1	1	1	5	0								
17	Control	1	1	1	5	0								
18	Control	1	1	1	5	0								
19	Control	1	1	1	5	0								
20	Control	1	1	1	5	0								
21	Control	1	1	1	5	0								
22	Control	1	1	1	5	0								
23	Control	1	1	1	5	0								
24	Control	1	1	1	5	0								
25	Control	1	1	1	5	0								
26	Control	1	1	1	5	0								
27	Control	1	1	1	5	0								
28	Control	1	1	1	5	0								
29	Control	1	1	1	5	0								
30	Control	1	1	1	5	0								
31	Control	1	1	1	5	0								
32	Control	1	1	1	5	0								
33	Control	1	1	1	5	0								
34	Control	1	1	1	5	0								
35	Control	1	1	1	5	0								
36	Control	1	1	1	5	0								
37	Control	1	1	1	5	0								
38	Control	1	1	1	5	0								
39	Control	1	1	1	5	0								
40	Control	1	1	1	5	0								
41	Probiotic	1	2	1	5	0								
42	Probiotic	1	2	1	5	0								
43	Probiotic	1	2	1	5	0								
44	Probiotic	1	2	1	5	0								
45	Probiotic	1	2	1	5	0								
46	Probiotic	1	2	1	5	0								
47	Probiotic	1	2	1	5	0								
48	Probiotic	1	2	1	5	0								
49	Probiotic	1	2	1	5	0								
50	Probiotic	1	2	1	5	0								
51	Probiotic	1	2	1	5	0								
52	Probiotic	1	2	1	5	0								
53	Probiotic	1	2	1	5	0								
54	Probiotic	1	2	1	5	0								
55	Probiotic	1	2	1	5	0								
56	Probiotic	1	2	1	5	0								
57	Probiotic	1	2	1	5	0								
58	Probiotic	1	2	1	5	0								
59	Probiotic	1	2	1	5	0								
60	Probiotic	1	2	1	5	0								
61	Probiotic	1	2	1	5	0								
62	Probiotic	1	2	1	5	0								
63	Probiotic	1	2	1	5	0								
64	Probiotic	1	2	1	5	0								
65	Probiotic	1	2	1	5	0								
66	Probiotic	1	2	1	5	0								
67	Probiotic	1	2	1	5	0								
68	Probiotic	1	2	1	5	0								
69	Probiotic	1	2	1	5	0								
70	Probiotic	1	2	1	5	0								
71	Probiotic	1	2	1	5	0								
72	Probiotic	1	2	1	5	0								
73	Probiotic	1	2	1	5	0								
74	Probiotic	1	2	1	5	0								
75	Probiotic	1	2	1	5	0								
76	Probiotic	1	2	1	5	0								
77	Probiotic	1	2	1	5	0								
78	Probiotic	1	2	1	5	0								
79	Probiotic	1	2	1	5	0								
80	Probiotic	1	2	1	5	0								
81	PH	1	3	1	5	0								
82	PH	1	3	1	5	0								
83	PH	1	3	1	5	0								
84	PH	1	3	1	5	0								
85	PH	1	3	1	5	0								
86	PH	1	3	1	5	0								
87	PH	1	3	1	5	0								
88	PH	1	3	1	5	0								
89	PH	1	3	1	5	0								
90	PH	1	3	1	5	0								
91	PH	1	3	1	5	0								
92	PH	1	3	1	5	0								
93	PH	1	3	1	5	0								
94	PH	1	3	1	5	0								
95	PH	1	3	1	5	0								
96	PH	1	3	1	5	0								
97	PH	1	3	1	5	0								
98	PH	1	3	1	5	0								
99	PH	1	3	1	5	0								
100	PH	1	3	1	5	0								
101	PH	1	3	1	5	0								
102	PH	1	3	1	5	0								
103	PH	1	3	1	5	0								
104	PH	1	3	1	5	0								
105	PH	1	3	1	5	0								
106	PH	1	3	1	5	0								
107	PH	1	3	1	5	0								
108	PH	1	3	1	5	0								
109	PH	1	3	1	5	0								
110	PH	1	3	1	5	0								
111	PH	1	3	1	5	0								
112	PH	1	3	1	5	0								
113	PH	1	3	1	5	0								
114	PH	1	3	1	5	0								
115	PH	1	3	1	5	0								
116	PH	1	3	1	5	0								
117	PH	1	3	1	5	0								
118	PH	1	3	1	5	0								
119	PH	1	3	1	5	0								
120	PH	1	3	1	5	0								
121	Control	2	7	1	5	0								
122	Control	2	7	1	5	0								
123	Control	2	7	1	5	0								
124	Control	2	7	1	5	0								
125	Control	2	7	1	5	0								
126	Control	2	7	1	5	0								
127	Control	2	7	1	5	0								
128	Control	2	7	1	5	0								
129	Control	2	7	1	5	0								
130	Control	2	7	1	5	0								
131	Control	2	7	1	5	0								
132	Control	2	7	1	5	0								
133	Control	2	7	1	5	0								
134	Control	2	7	1	5	0								
135	Control	2	7	1	5	0								
136	Control	2	7	1	5	0								
137	Control	2	7	1	5	0								
138	Control	2	7	1	5	0								
139	Control	2	7	1	5	0								
140	Control	2	7	1	5	0								
141	Control	2	7	1	5	0								
142	Control	2	7	1	5	0								
143	Control	2	7	1	5	0								
144	Control	2	7	1	5	0								
145	Control	2	7	1	5	0								
146	Control	2	7	1	5	0								
147	Control	2	7	1	5	0								
148	Control	2	7	1	5	0								
149	Control	2	7	1	5	0								
150	Control	2	7	1	5	0								
151	Control	2	7	1	5	0								
152	Control	2	7	1	5	0								
153	Control	2	7	1	5	0								
154	Control	2	7	1	5	0								
155	Control	2	7	1	5	0								
156	Control	2	7	1	5	0								
157	Control	2	7	1	5	0								
158	Control	2	7	1	5	0								
159	Control	2	7	1	5	0								
160	Control	2	7	1	5	0								
161	Probiotic	2	8	1	5	0								
162	Probiotic	2	8	1	5	0								
163	Probiotic	2	8	1	5	0								
164	Probiotic	2	8	1	5	0								
165	Probiotic	2	8	1	5	0								
166	Probiotic	2	8	1	5	0								
167	Probiotic	2	8	1	5	0								
168	Probiotic	2	8	1	5	0								
169	Probiotic	2	8	1	5	0								
170	Probiotic	2	8	1	5	0								
171	Probiotic	2	8	1	5	0								
172	Probiotic	2	8	1	5	0								
173	Probiotic	2	8	1	5	0								
174	Probiotic	2	8	1	5	0								
175	Probiotic	2	8	1	5	0								
176	Probiotic	2	8	1	5	0								
177	Probiotic	2	8	1	5	0								
178	Probiotic	2	8	1	5	0								
179	Probiotic	2	8	1	5	0								
180	Probiotic	2	8	1	5	0								
181	Probiotic	2	8	1	5	0								
182	Probiotic	2	8	1	5	0								
183	Probiotic	2	8	1	5	0								
184	Probiotic	2	8	1	5	0								
185	Probiotic	2	8	1	5	0								
186	Probiotic	2	8	1	5	0								
187	Probiotic	2	8	1	5	0								
188	Probiotic	2	8	1	5	0								
189	Probiotic	2	8	1	5	0								
190	Probiotic	2	8	1	5	0								
191	Probiotic	2	8	1	5	0								
192	Probiotic	2	8	1	5	0								
193	Probiotic	2	8	1	5	0								
194	Probiotic	2	8	1	5	0								
195	Probiotic	2	8	1	5	0								
196	Probiotic	2	8	1	5	0								
197	Probiotic	2	8	1	5	0								
198	Probiotic	2	8	1	5	0								
199	Probiotic	2	8	1	5	0								
200	Probiotic	2	8	1	5	0								
201	PH	2	9	1	5	0								
202	PH	2	9	1	5	0								
203	PH	2	9	1	5	0								
204	PH	2	9	1	5	0								
205	PH	2	9	1	5	0								
206	PH	2	9	1	5	0								
207	PH	2	9	1	5	0								
208	PH	2	9	1	5	0								
209	PH	2	9	1	5	0								
210	PH	2	9	1	5	0								
211	PH	2	9	1	5	0								
212	PH	2	9	1	5	0								
213	PH	2	9	1	5	0								
214	PH	2	9	1	5	0								
215	PH	2	9	1	5	0								
216	PH	2	9	1	5	0								
217	PH	2	9	1	5	0								
218	PH	2	9	1	5	0								
